Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Flux1000,Energy_Flux100,Signif_Curve,Spectral_Index,PowerLaw_Index,Flux100_300,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_100000,Variability_Index,CLASS1
3FGL J0050.0-4458,6.089448,693.9973,9.487338E-13,2.4651042E-10,3.7557128E-12,0.546852,2.5278618,2.5278618,5.3808433E-09,8.677645E-10,2.684578E-10,6.090502E-11,1.5179574E-15,68.52615,bcu
3FGL J0051.2-6241,23.414747,3901.6074,8.443739E-14,1.1676106E-09,1.6451488E-11,1.834303,1.663153,1.663153,5.622628E-09,1.1437873E-09,6.1586836E-10,3.9167417E-10,2.1116797E-10,50.18193,bcu
3FGL J0055.2-1213,4.707273,996.72266,3.4178349E-13,2.4247468E-10,3.1936621E-12,0.60432637,2.396758,2.396758,4.0947197E-09,1.2396548E-09,1.8118611E-10,3.7659608E-11,1.4890604E-11,68.79127,bcu
3FGL J0059.1-5701,11.238453,552.15875,3.786555E-12,4.951862E-10,8.481243E-12,2.6092033,2.6164255,2.6164255,9.631363E-09,3.4380316E-09,5.2062676E-10,4.1427736E-11,2.5868476E-16,64.36906,bcu
3FGL J0103.7+1323,7.121161,2455.6235,6.381612E-14,3.8141826E-10,4.278366E-12,2.4360914,1.983666,1.983666,1.9054116E-09,2.6927713E-10,2.814256E-10,1.3111881E-10,1.8071369E-11,52.767,bcu
3FGL J0107.0-1208,5.0982723,1671.0822,1.1404145E-13,2.9477867E-10,3.3483689E-12,0.96433944,2.1802132,2.1802132,0.000000004,7.097086E-10,2.3539706E-10,8.850405E-11,8.003231E-12,32.686623,bcu
3FGL J0116.2-2744,5.4813976,2554.8025,4.2827612E-14,2.7675112E-10,3.0817076E-12,1.0344732,2.0224857,2.0224857,7.437622E-11,6.895485E-10,2.416122E-10,5.2851598E-11,2.8018907E-11,40.398945,bcu
3FGL J0121.7+5154,6.596468,3423.1348,3.9336552E-14,4.5444848E-10,5.097001E-12,0.43714926,1.9840935,1.9840935,5.141193E-09,5.384402E-10,3.1352584E-10,1.7275122E-10,2.4420507E-11,38.558067,bcu
3FGL J0127.2+0325,14.420222,2348.6604,1.6054387E-13,8.8939184E-10,1.03032635E-11,1.6034747,1.8992667,1.8992667,7.584568E-10,1.6504353E-09,5.48836E-10,2.892585E-10,7.495047E-11,49.55338,bcu
3FGL J0131.3+5548,4.888881,5586.9307,1.2081562E-14,3.4816386E-10,4.024011E-12,0.34094977,1.9038582,1.9038582,7.1469404E-09,5.013506E-10,1.849667E-10,5.5941782E-11,6.0213334E-11,44.81947,bcu
